fuel,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
13.1,8,5.031,130,1589.4,2.24,70,US,chevrolet chevelle malibu
15.7,8,5.735,165,1675.1,2.33,70,US,buick skylark 320
13.1,8,5.211,150,1558.6,2.44,70,US,plymouth satellite
14.7,8,4.982,150,1557.2,2.24,70,US,amc rebel sst
13.8,8,4.949,140,1564.5,2.55,70,US,ford torino
15.7,8,7.03,198,1969.1,2.68,70,US,ford galaxie 500
16.8,8,7.44,220,1975,2.98,70,US,chevrolet impala
16.8,8,7.21,215,1955.9,3.16,70,US,plymouth fury iii
16.8,8,7.456,225,2007.2,2.68,70,US,pontiac catalina
15.7,8,6.391,190,1746.4,3.16,70,US,amc ambassador dpl
15.7,8,6.276,170,1616.2,2.68,70,US,dodge challenger se
16.8,8,5.572,160,1637,3.35,70,US,plymouth 'cuda 340
15.7,8,6.555,150,1706,2.82,70,US,chevrolet monte carlo
16.8,8,7.456,225,1399.8,2.68,70,US,buick estate wagon (sw)
9.8,4,1.852,95,1075.9,1.79,70,Japan,toyota corona mark ii
10.7,6,3.245,95,1285,1.73,70,US,plymouth duster
13.1,6,3.261,97,1258.3,1.73,70,US,amc hornet
11.2,6,3.277,85,1173.5,1.68,70,US,ford maverick
8.7,4,1.59,88,966.2,1.85,70,Japan,datsun pl510
9,4,1.59,46,832.4,1.31,70,Europe,volkswagen 1131 deluxe sedan
9.4,4,1.803,87,1212,1.53,70,Europe,peugeot 504
9.8,4,1.753,90,1102.2,1.85,70,Europe,audi 100 ls
9.4,4,1.704,95,1077.3,1.53,70,Europe,saab 99e
9,4,1.983,113,1013.3,2.15,70,Europe,bmw 2002
11.2,6,3.261,90,1201.1,1.79,70,US,amc gremlin
23.5,8,5.899,215,2093.4,1.92,70,US,ford f250
23.5,8,5.031,200,1985,1.79,70,US,chevy c20
21.4,8,5.211,210,1987.7,1.99,70,US,dodge d200
26.1,8,4.982,193,2146.4,1.45,70,US,hi 1200d
8.7,4,1.59,88,966.2,1.85,71,Japan,datsun pl510
8.4,4,2.294,90,1027,1.73,71,US,chevrolet vega 2300
9.4,4,1.852,95,1010.6,1.92,71,Japan,toyota corona
12.4,6,3.802,100,1194.8,2.06,71,US,amc gremlin
14.7,6,3.687,105,1559.9,1.73,71,US,plymouth satellite custom
13.8,6,4.097,100,1510,1.73,71,US,chevrolet chevelle malibu
